event type,mass 1,mass 2,id 1,id 2,id 3,id 4,period (days),time (Myr)
EXCHANGE,?,?,108659,143871,108659,165870,?, 2067.00
EXCHANGE,?,?,165870,108659,108659,143871,?, 2079.00
EXCHANGE,?,?,108659,143871,108659,165870,?, 2079.00
EXCHANGE,?,?,108659,165870,108659,  3838,?, 2229.00
BH ESCAPE,13.7,13.4 , 26636,  2404 ,N/A,N/A,4.7E-02, 2445.00
EXCHANGE,?,?,108659,  3838,  3838,178606,?, 2748.00
EXCHANGE,?,?,  3838,178606,178606,115438,?, 2789.00
EXCHANGE,?,?,178606,115438,115438, 14205,?, 2907.00
EXCHANGE,?,?,115438, 14205,115438,148477,?, 3279.00
EXCHANGE,?,?,151114, 60751, 60751,178606,?, 3538.00
BH ESCAPE,13.5,22.3 , 60751,178606 ,N/A,N/A,2.1E+02, 3631.00
EXCHANGE,?,?,115438,148477,115438, 36532,?, 4014.00
BH ESCAPE,14.3,15.2 ,115438, 36532 ,N/A,N/A,9.4E+01, 4583.00
EXCHANGE,?,?,106734, 93658,106734,177930,?, 4628.00
EXCHANGE,?,?,106734,105532,106734, 93658,?, 4740.00
EXCHANGE,?,?, 93658,145275,145275, 23052,?, 4792.00
EXCHANGE,?,?,145275, 23052, 23052, 93658,?, 4792.00
EXCHANGE,?,?, 93658,145275, 93658, 23052,?, 4792.00
EXCHANGE,?,?, 93658, 23052, 93658,145275,?, 4792.00
EXCHANGE,?,?, 93658,145275, 93658,108718,?, 4891.00
EXCHANGE,?,?, 93658,108718,108718, 75833,?, 5487.00
EXCHANGE,?,?, 82025,108718,108718, 75833,?, 5488.00
BH ESCAPE,15.2,14.5 ,108718, 75833 ,N/A,N/A,2.4E+02, 5845.00
EXCHANGE,?,?, 71259,143871,143871,178166,?, 6205.00
EXCHANGE,?,?,143871,178166,178166, 71259,?, 6205.00
EXCHANGE,?,?,178166, 71259,178166,154277,?, 6291.00
EXCHANGE,?,?,178166,154277,154277, 71259,?, 6291.00
EXCHANGE,?,?,154277, 71259, 71259,178256,?, 6356.00
EXCHANGE,?,?, 71259,178256, 71259, 93658,?, 6563.00
EXCHANGE,?,?, 71259, 93658, 93658, 11293,?, 7272.00
EXCHANGE,?,?, 93658, 11293, 11293,  3838,?, 7404.00
BH ESCAPE,13.7,14.7 , 11293,  3838 ,N/A,N/A,5.3E+02, 7477.00
EXCHANGE,?,?,178166, 36686, 36686,163001,?, 7893.00
EXCHANGE,?,?,163001, 36686, 36686,178166,?, 7893.00
EXCHANGE,?,?, 36686,178166, 36686,163001,?, 7893.00
EXCHANGE,?,?, 36686,163001, 36686,178166,?, 7893.00
EXCHANGE,?,?, 36686,178166, 36686,163001,?, 7893.00
EXCHANGE,?,?,178166, 64104,178166, 18453,?, 8142.00
EXCHANGE,?,?, 82025,148002,148002, 60061,?, 8222.00
EXCHANGE,?,?, 60061,148002,148002, 82025,?, 8222.00
EXCHANGE,?,?,148002, 82025,148002, 83281,?, 8325.00
EXCHANGE,?,?, 82025, 83281, 83281, 74895,?, 8359.00
EXCHANGE,?,?, 83281, 74895, 74895, 82025,?, 8359.00
EXCHANGE,?,?,178166, 18453,178166,178256,?, 8785.00
EXCHANGE,?,?, 74895, 82025, 74895,169516,?, 8836.00
EXCHANGE,?,?, 74895,169516,169516, 82025,?, 8836.00
EXCHANGE,?,?,178166,178256,178166,148154,?, 8996.00
EXCHANGE,?,?,178256, 23052, 23052,178166,?, 9364.00
EXCHANGE,?,?, 23052,178166, 23052,178256,?, 9364.00
EXCHANGE,?,?, 23052,178256, 23052,178166,?, 9364.00
EXCHANGE,?,?, 23052,178256,178256,178166,?, 9364.00
EXCHANGE,?,?,178256,178166,178166, 83281,?,10275.00
EXCHANGE,?,?,178166, 83281, 83281,148002,?,10519.00
EXCHANGE,?,?,169516, 82025, 82025,160006,?,10911.00
EXCHANGE,?,?, 82025,160006, 82025,169516,?,10911.00
BH ESCAPE,13.7,14.5 , 83281,148002 ,N/A,N/A,2.8E+02,11373.00
EXCHANGE,?,?, 82025,169516,169516,163001,?,12233.00
BH ESCAPE,13.4,13.4 ,169516,163001 ,N/A,N/A,1.2E+02,12254.00
EXCHANGE,?,?, 23052, 26198, 23052, 51417,?,13068.00
EXCHANGE,?,?, 23052, 26198, 23052, 51417,?,13068.00
EXCHANGE,?,?, 23052, 26198, 26198, 60061,?,13259.00
EXCHANGE,?,?, 26198,  8420,  8420, 60061,?,13808.00
EXCHANGE,?,?, 60061,  8420,  8420, 26198,?,13808.00
EXCHANGE,?,?,  8420, 26198, 26198,154277,?,14751.00
EXCHANGE,?,?, 26198,154277,154277,  8420,?,17937.00
EXCHANGE,?,?,154277,  8420,154277, 35807,?,17937.00
BH ESCAPE,13.4,13.7 ,154277, 35807 ,N/A,N/A,3.5E+02,17985.00
EXCHANGE,?,?,146887,195288,146887,151795,?,19816.00
EXCHANGE,?,?,151795, 95268,151795,146887,?,20177.00
EXCHANGE,?,?,146887,193704,146887, 26198,?,20251.00
EXCHANGE,?,?,146887, 26198, 26198,180878,?,22874.00
BH ESCAPE,14.8, 9.5 , 26198,180878 ,N/A,N/A,3.5E+02,22913.00
EXCHANGE,?,?,119272, 23052,119272, 64220,?,26189.00
EXCHANGE,?,?,119272, 64220, 64220,  5720,?,26603.00
EXCHANGE,?,?, 64220,  5720, 64220,119272,?,26603.00
EXCHANGE,?,?, 64220,119272, 64220,159191,?,27688.00
EXCHANGE,?,?, 64220,159191,159191, 23052,?,28649.00
EXCHANGE,?,?,159191, 23052, 23052,119272,?,32695.00
BH ESCAPE,18.7,10.3 , 23052,119272 ,N/A,N/A,1.5E+02,34234.00
EXCHANGE,?,?, 70657,166318,166318, 60414,?,40202.00
EXCHANGE,?,?,  5720,104983,104983, 70657,?,41479.00
EXCHANGE,?,?,104983, 70657,104983,166318,?,41714.00
EXCHANGE,?,?,104983,166318,166318,159191,?,42939.00
EXCHANGE,?,?,159191, 70657,159191,  5720,?,45445.00
BH ESCAPE, 9.7, 7.9 ,159191,  5720 ,N/A,N/A,1.4E+02,47342.00
EXCHANGE,?,?,104983, 70657, 70657, 29650,?,52205.00
EXCHANGE,?,?,104983,110088,104983, 70657,?,52360.00
